close,conversionSymbol,conversionType,high,low,open,time (unix epoch),volumefrom,volumeto,ingestion_date (unix epoch)
0.068,"",direct,0.0733,0.067,0.07,1282089600,2953.98,203.83,1680537367
0.0667,"",direct,0.0679,0.0667,0.068,1282176000,741.12,50.04,1680537367
0.0655,"",direct,0.0667,0.065,0.0667,1282262400,4199.75,276.41,1680537367
0.0664,"",direct,0.0669,0.0644,0.0655,1282348800,10443.86,688.51,1680537367
0.066,"",direct,0.0664,0.0612,0.0664,1282435200,18648.97,1183.64,1680537367
0.06491,"",direct,0.06689,0.063,0.066,1282521600,4297.49,281.88,1680537367
0.065,"",direct,0.0665,0.06491,0.06491,1282608000,6711.76,444.66,1680537367
0.0648,"",direct,0.0665,0.0641,0.065,1282694400,4228.88,278.86,1680537367
0.064,"",direct,0.0658,0.064,0.0648,1282780800,3870.01,251.56,1680537367
0.065,"",direct,0.065,0.063,0.064,1282867200,9009.97,583.71,1680537367
0.0641,"",direct,0.065,0.0641,0.065,1282953600,6174.01,399.45,1680537367
0.064,"",direct,0.0648,0.064,0.0641,1283040000,3173.4,204.88,1680537367
0.06497,"",direct,0.069,0.03211,0.064,1283126400,34193.14,2135.0,1680537367
0.06,"",direct,0.0649,0.06,0.06497,1283212800,14886.91,933.23,1680537367
0.0629,"",direct,0.0629,0.05961,0.06,1283299200,7164.72,436.73,1680537367
0.0634,"",direct,0.0634,0.0601,0.0629,1283385600,8150.73,498.98,1680537367
0.06085,"",direct,0.063,0.06085,0.0634,1283472000,892.0,54.61,1680537367
0.06238,"",direct,0.06238,0.0612,0.06085,1283558400,3301.0,202.27,1680537367
0.0616,"",direct,0.064,0.0605,0.06238,1283644800,8459.24,527.97,1680537367
0.0616,"",direct,0.0627,0.0616,0.0616,1283731200,910.0,56.13,1680537367
0.061,"",direct,0.06201,0.0603,0.0616,1283817600,3457.19,212.35,1680537367
0.062,"",direct,0.062,0.06099,0.061,1283904000,2345.41,143.36,1680537367
0.06111,"",direct,0.0624,0.06109,0.062,1283990400,1733.5,107.68,1680537367
0.0618,"",direct,0.0618,0.06014,0.06111,1284076800,4939.79,301.8,1680537367
0.06366,"",direct,0.065,0.0619,0.0618,1284163200,7749.14,491.19,1680537367
0.0615,"",direct,0.0621,0.0615,0.06366,1284249600,793.88,48.99,1680537367
0.06219,"",direct,0.064,0.0607,0.0615,1284336000,10076.34,632.2,1680537367
0.06199,"",direct,0.175,0.061,0.06219,1284422400,14014.81,876.76,1680537367
0.0604,"",direct,0.0625,0.0604,0.06199,1284508800,3651.85,223.27,1680537367
0.0619,"",direct,0.0619,0.0618,0.0604,1284595200,730.0,45.17,1680537367
0.059,"",direct,0.0609,0.059,0.0619,1284681600,7262.0,438.94,1680537367
0.061,"",direct,0.061,0.05761,0.059,1284768000,7092.61,427.76,1680537367
0.0627,"",direct,0.0627,0.06,0.061,1284854400,12852.17,797.36,1680537367
0.0621,"",direct,0.0634,0.062,0.0627,1284940800,14307.94,891.19,1680537367
