time,open,close,high,low,volumefrom,volumeto
1282953600,0.065,0.0641,0.065,0.0641,6174.01,399.45
1283040000,0.0641,0.064,0.0648,0.064,3173.4,204.88
1283126400,0.064,0.06497,0.069,0.03211,34193.14,2135.0
1283212800,0.06497,0.06,0.0649,0.06,14886.91,933.23
1283299200,0.06,0.0629,0.0629,0.05961,7164.72,436.73
1283385600,0.0629,0.0634,0.0634,0.0601,8150.73,498.98
1283472000,0.0634,0.06085,0.063,0.06085,892.0,54.61
1283558400,0.06085,0.06238,0.06238,0.0612,3301.0,202.27
1283644800,0.06238,0.0616,0.064,0.0605,8459.24,527.97
1283731200,0.0616,0.0616,0.0627,0.0616,910.0,56.13
1283817600,0.0616,0.061,0.06201,0.0603,3457.19,212.35
1283904000,0.061,0.062,0.062,0.06099,2345.41,143.36
1283990400,0.062,0.06111,0.0624,0.06109,1733.5,107.68
1284076800,0.06111,0.0618,0.0618,0.06014,4939.79,301.8
1284163200,0.0618,0.06366,0.065,0.0619,7749.14,491.19
1284249600,0.06366,0.0615,0.0621,0.0615,793.88,48.99
1284336000,0.0615,0.06219,0.064,0.0607,10076.34,632.2
1284422400,0.06219,0.06199,0.175,0.061,14014.81,876.76
1284508800,0.06199,0.0604,0.0625,0.0604,3651.85,223.27
1284595200,0.0604,0.0619,0.0619,0.0618,730.0,45.17
1284681600,0.0619,0.059,0.0609,0.059,7262.0,438.94
1284768000,0.059,0.061,0.061,0.05761,7092.61,427.76
1284854400,0.061,0.0627,0.0627,0.06,12852.17,797.36
1284940800,0.0627,0.0621,0.0634,0.062,14307.94,891.19
1285027200,0.0621,0.06265,0.0633,0.0623,5735.95,359.82
1285113600,0.06265,0.0622,0.0624,0.06147,11560.4,717.33
1285200000,0.0622,0.06231,0.063,0.0615,15505.33,970.09
1285286400,0.06231,0.0622,0.0624,0.06209,684.38,42.66
1285372800,0.0622,0.06202,0.0624,0.0617,2152.5,133.05
1285459200,0.06202,0.062,0.06228,0.06186,12058.13,748.2
1285545600,0.062,0.0622,0.06228,0.0619,10752.25,668.53
1285632000,0.0622,0.0619,0.06271,0.0617,7086.15,439.05
1285718400,0.0619,0.06191,0.062,0.0615,23475.64,1450.79
1285804800,0.06191,0.0619,0.0619,0.06155,7917.03,488.15
1285891200,0.0619,0.06197,0.062,0.06189,1717.45,106.46
1285977600,0.06197,0.0614,0.06191,0.06125,13059.74,802.52
1286064000,0.0614,0.06111,0.0614,0.061,7172.63,439.88
1286150400,0.06111,0.0613,0.062,0.06081,33995.37,2079.89
1286236800,0.0613,0.0614,0.06301,0.0609,27526.61,1699.2
1286323200,0.0614,0.06281,0.0635,0.0612,33433.3,2091.28
1286409600,0.06281,0.067,0.067,0.0628,43692.98,2812.79
1286496000,0.067,0.08685,0.088,0.01,139287.29,10784.23
1286582400,0.08685,0.0938,0.12,0.068,187846.95,16104.87
1286668800,0.0938,0.0965,0.1301,0.07999,50684.19,4889.35
1286755200,0.0965,0.095,0.103,0.091,14092.91,1395.23
1286841600,0.095,0.0949,0.099,0.082,25660.75,2396.82
1286928000,0.0949,0.105,0.105,0.092,47557.27,4558.52
1287014400,0.105,0.102,0.1045,0.065,37217.28,3701.65
1287100800,0.102,0.105,0.119,0.092,24643.33,2554.91
1287187200,0.105,0.101,0.103,0.1,6284.71,633.63
1287273600,0.101,0.102,0.1045,0.1,18222.19,1857.8
1287360000,0.102,0.1024,0.103,0.097,25665.09,2591.64
1287446400,0.1024,0.097,0.1019,0.097,6235.1,623.34
1287532800,0.097,0.099,0.103,0.094,31855.0,3221.08
1287619200,0.099,0.107,0.109,0.097,44867.0,4616.85
1287705600,0.107,0.1025,0.109,0.1015,34603.91,3665.43
1287792000,0.1025,0.1055,0.109,0.1045,4423.47,481.52
1287878400,0.1055,0.115,0.19,0.108,13800.23,1560.61
1287964800,0.115,0.132,0.19,0.09009,30299.64,4450.0
1288051200,0.132,0.1503,0.18,0.133,19219.13,2995.09
1288137600,0.1503,0.1877,0.19,0.151,65605.87,11594.02
1288224000,0.1877,0.1731,0.191,0.1731,21525.04,4009.67
1288310400,0.1731,0.19,0.19,0.173,28686.85,5380.49
1288396800,0.19,0.1989,0.199,0.1875,26708.94,5112.03
1288483200,0.1989,0.1925,0.1989,0.171,40337.76,7829.46
1288569600,0.1925,0.1955,0.1955,0.172,21258.61,4049.75
1288656000,0.1955,0.1938,0.195,0.1905,5853.39,1121.34
1288742400,0.1938,0.1931,0.275,0.125,61472.63,11769.61
1288828800,0.1931,0.23,0.236,0.1934,29698.43,6229.16
1288915200,0.23,0.26,0.2639,0.2101,36622.07,8757.15
1289001600,0.26,0.39,0.5,0.2402,32756.13,9396.96
1289088000,0.39,0.34,0.47,0.286,77218.72,27937.74
1289174400,0.34,0.243,0.37,0.2261,118203.83,38339.26
1289260800,0.243,0.21,0.323,0.199,47983.39,12808.3
1289347200,0.21,0.24,0.24,0.14,30387.03,6110.13
1289433600,0.24,0.2231,0.24,0.21,5031.88,1111.55
1289520000,0.2231,0.2682,0.29,0.223,40720.39,10494.46
1289606400,0.2682,0.276,0.3,0.2683,21915.57,6351.58
1289692800,0.276,0.279,0.299,0.2702,16844.33,4793.81
1289779200,0.279,0.2682,0.2828,0.2682,8507.74,2337.5
1289865600,0.2682,0.223,0.275,0.223,33931.01,8609.67
1289952000,0.223,0.2299,0.29,0.2116,32871.6,8662.61
